AirportCode;AirportName;CountryCode;CountryName;LocalizedCountryName;CityCode;CityName;LocalizedCityName;StateCode;StateName;Rating;IfActive
LNX;Smolensk;RU;Russia;Rusya;LNX;Smolensk;NULL;NULL;NULL;0;1
LNY;Lanai City;US;United States Of America;Amerika;LNY;Lanai City;NULL;HI;Hawaii;0;1
LNZ;Blue Danube;AT;Austria;Avusturya;LNZ;Linz;NULL;NULL;NULL;0;1
LOA;Lorraine;AU;Australia;Avustralya;LOA;Lorraine;NULL;QL;Queensland;0;1
LOB;Los Andes;CL;Chile;Þili;LOB;Los Andes;NULL;NULL;NULL;0;1
LOC;Lock;AU;Australia;Avustralya;LOC;Lock;NULL;SA;South Australia;0;1
LOD;Longana;VU;Vanuatu;Vanuatu;LOD;Longana;NULL;NULL;NULL;0;1
LOE;Loei;TH;Thailand;Tayland;LOE;Loei;NULL;NULL;NULL;0;1
LOF;Loen;MH;Marshall Islands;Marshall Adalarý;LOF;Loen;NULL;NULL;NULL;0;1
LOG;Longview;US;United States Of America;Amerika;LOG;Longview;NULL;WA;Washington;0;1
LOH;Loja;EC;Ecuador;Ekvator;LOH;Loja;NULL;NULL;NULL;0;1
LOK;Lodwar;KE;Kenya;Kenya;LOK;Lodwar;NULL;NULL;NULL;0;1
LOL;Derby Field;US;United States Of America;Amerika;LOL;Lovelock;NULL;NV;Nevada;0;1
LOM;Francisco;MX;Mexico;Meksika;LOM;Lagos De Moreno;NULL;NULL;NULL;0;1
LOO;L'mekrareg;DZ;Algeria;Cezayir;LOO;Laghouat;NULL;NULL;NULL;0;1
LOQ;Lobatse;BW;Botswana;Botsvana;LOQ;Lobatse;NULL;NULL;NULL;0;1
LOS;Murtala Muhammed;NG;Nigeria;Nijerya;LOS;Lagos;NULL;NULL;NULL;151;1
LOT;Lewis Lockport;US;United States Of America;Amerika;LOT;Lockport;NULL;IL;Illinois;0;1
LOU;Bowman Field;US;United States Of America;Amerika;SDF;Louisville;NULL;KY;Kentucky;1;1
LOV;Monclova;MX;Mexico;Meksika;LOV;Monclova;NULL;NULL;NULL;0;1
LOW;Louisa;US;United States Of America;Amerika;LOW;Louisa;NULL;VA;Virginia;0;1
LOX;Los Tablones;GT;Guatemala;Guatemala;LOX;Los Tablones;NULL;NULL;NULL;0;1
LOY;Loyengalani;KE;Kenya;Kenya;LOY;Loyengalani;NULL;NULL;NULL;0;1
LOZ;Corbin London;US;United States Of America;Amerika;LOZ;London;NULL;KY;Kentucky;0;1
LPA;Gran Canaria;ES;Spain;Ýspanya;LPA;Las Palmas;NULL;NULL;NULL;7;1
LPB;El Alto;BO;Bolivia;Bolivya;LPB;La Paz;NULL;NULL;NULL;2;1
LPC;Lompoc Apt;US;United States Of America;Amerika;LPC;Lompoc;NULL;CA;California;0;1
LPD;La Pedrera;CO;Colombia;Kolombiya;LPD;La Pedrera;NULL;NULL;NULL;0;1
LPE;La Primavera;CO;Colombia;Kolombiya;LPE;La Primavera;NULL;NULL;NULL;0;1
LPG;La Plata;AR;Argentina;Arjantin;LPG;La Plata;NULL;BA;Buenos Aires;0;1
LPI;City Airport;SE;Sweden;Ýsveç;LPI;Linkoping;NULL;NULL;NULL;0;1
LPJ;Pijiguaos;VE;Venezuela;Venezuela;LPJ;Pijiguaos;NULL;NULL;NULL;0;1
LPK;Lipetsk;RU;Russia;Rusya;LPK;Lipetsk;NULL;NULL;NULL;0;1
LPL;John Lennon;GB;United Kingdom;Ýngiltere;LPL;Liverpool;NULL;NULL;NULL;0;1
LPM;Lamap;VU;Vanuatu;Vanuatu;LPM;Lamap;NULL;NULL;NULL;0;1
LPN;Leron Plains;PG;Papua New Guinea;Papua Yeni Gine;LPN;Leron Plains;NULL;NULL;NULL;0;1
LPO;Laporte Mnpl;US;United States Of America;Amerika;LPO;Laporte;NULL;IN;Indiana;0;1
LPP;Lappeenranta;FI;Finland;Finlandiya;LPP;Lappeenranta;NULL;NULL;NULL;0;1
LPQ;Luang Prabang;LA;Lao People's Dem Republic;Lao People's Dem Republic;LPQ;Luang Prabang;NULL;NULL;NULL;0;1
LPS;Lopez Island;US;United States Of America;Amerika;LPS;Lopez Island;NULL;WA;Washington;0;1
LPT;Lampang;TH;Thailand;Tayland;LPT;Lampang;NULL;NULL;NULL;0;1
LPU;Long Apung;ID;Indonesia;Endonezya;LPU;Long Apung;NULL;NULL;NULL;0;1
LPW;Little Port Walte;US;United States Of America;Amerika;LPW;Little Port Walte;NULL;AK;Alaska;0;1
LPX;Liepaja Intl;LV;Latvia;Letonya;LPX;Liepaja;NULL;NULL;NULL;0;1
LPY;Loudes;FR;France;Fransa;LPY;Le Puy;NULL;NULL;NULL;0;1
LQK;Pickens;US;United States Of America;Amerika;LQK;Pickens;NULL;SC;South Carolina;0;1
